double_matchings,bits_recovered,bits,%
84.0,1978.0,1978.0,1.0
12.0,42.0,42.0,1.0
115.0,4104.0,4104.0,1.0
78.0,1844.0,1844.0,1.0
88.0,2260.0,2260.0,1.0
37.0,448.0,448.0,1.0
26.0,280.0,280.0,1.0
137.0,5418.0,5418.0,1.0
85.0,3036.0,3036.0,1.0
74.0,1562.0,1562.0,1.0
117.0,3762.0,3762.0,1.0
54.0,822.0,822.0,1.0
40.0,534.0,534.0,1.0
18.0,80.0,80.0,1.0
72.0,1602.0,1602.0,1.0
59.0,1336.0,1336.0,1.0
29.0,260.0,260.0,1.0
69.0,1722.0,1722.0,1.0
59.0,1122.0,1122.0,1.0
93.0,2402.0,2402.0,1.0
7.0,20.0,24.0,0.8333333333333334
117.0,3240.0,3240.0,1.0
49.0,838.0,838.0,1.0
17.0,76.0,76.0,1.0
98.0,2402.0,2402.0,1.0
25.0,224.0,224.0,1.0
20.0,98.0,98.0,1.0
5.0,10.0,10.0,1.0
71.0,1322.0,1322.0,1.0
130.0,5486.0,5486.0,1.0
8.0,12.0,16.0,0.75
106.0,4048.0,4048.0,1.0
87.0,2278.0,2278.0,1.0
45.0,760.0,760.0,1.0
32.0,170.0,170.0,1.0
95.0,2870.0,2870.0,1.0
101.0,3892.0,3892.0,1.0
39.0,360.0,360.0,1.0
12.0,46.0,46.0,1.0
48.0,664.0,664.0,1.0
66.0,1080.0,1080.0,1.0
40.0,508.0,508.0,1.0
48.0,498.0,498.0,1.0
118.0,3652.0,3652.0,1.0
87.0,2666.0,2666.0,1.0
86.0,2590.0,2590.0,1.0
85.0,2470.0,2470.0,1.0
19.0,138.0,138.0,1.0
59.0,1180.0,1180.0,1.0
113.0,4168.0,4168.0,1.0
95.0,2188.0,2188.0,1.0
32.0,316.0,316.0,1.0
78.0,1850.0,1850.0,1.0
38.0,372.0,372.0,1.0
86.0,1926.0,1926.0,1.0
53.0,908.0,908.0,1.0
71.0,1650.0,1650.0,1.0
34.0,356.0,356.0,1.0
44.0,464.0,464.0,1.0
81.0,2114.0,2114.0,1.0
79.0,1776.0,1776.0,1.0
71.0,1644.0,1644.0,1.0
16.0,36.0,36.0,1.0
57.0,1068.0,1068.0,1.0
8.0,18.0,18.0,1.0
56.0,728.0,728.0,1.0
28.0,336.0,336.0,1.0
36.0,362.0,362.0,1.0
109.0,4096.0,4096.0,1.0
39.0,456.0,456.0,1.0
10.0,36.0,36.0,1.0
61.0,848.0,848.0,1.0
5.0,6.0,6.0,1.0
70.0,1092.0,1092.0,1.0
120.0,4326.0,4326.0,1.0
45.0,444.0,444.0,1.0
89.0,2406.0,2406.0,1.0
42.0,666.0,666.0,1.0
59.0,996.0,996.0,1.0
80.0,2296.0,2296.0,1.0
36.0,188.0,188.0,1.0
